experience_level,employee_residence,biggest_salary
,US,250000
senior,US,412000
,US,250000
middle,US,450000
middle,GR,450000
,FR,600000
senior,US,412000
middle,CA,450000
senior,US,412000
middle,US,450000
senior,PR,412000
senior,US,412000
senior,US,412000
middle,GB,450000
,IN,250000
,US,600000
senior,US,412000
senior,US,412000
senior,US,412000
middle,US,450000
senior,US,412000
middle,GB,450000
senior,RU,412000
,US,600000
middle,CA,450000
senior,US,412000
middle,EE,450000
,NL,250000
,IN,250000
middle,GB,450000
senior,US,412000
,US,250000
senior,US,412000
,IN,250000
senior,US,412000
middle,CL,450000
senior,US,412000
senior,US,412000
senior,NZ,412000
middle,CA,450000
senior,US,412000
senior,GB,412000
middle,GB,450000
,CA,250000
middle,US,450000
,IN,250000
middle,GB,450000
middle,US,450000
middle,GB,450000
senior,US,412000
senior,US,412000
middle,US,450000
middle,US,450000
senior,US,412000
middle,NL,450000
middle,IN,450000
senior,CA,412000
senior,VN,412000
middle,GB,450000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
,US,250000
senior,GR,412000
middle,PK,450000
senior,US,412000
middle,US,450000
senior,GB,412000
senior,US,412000
,CA,600000
senior,US,412000
middle,GB,450000
senior,US,412000
,CA,250000
senior,US,412000
,US,250000
middle,GB,450000
middle,US,450000
senior,US,412000
,US,600000
senior,BR,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,US,450000
middle,NL,450000
senior,US,412000
middle,HU,450000
middle,CA,450000
middle,US,450000
senior,US,412000
senior,US,412000
,US,600000
senior,GR,412000
,ES,600000
senior,FR,412000
middle,SI,450000
middle,TR,450000
senior,SI,412000
senior,US,412000
middle,GB,450000
middle,US,450000
senior,US,412000
middle,US,450000
,PK,250000
senior,US,412000
middle,ES,450000
senior,US,412000
,US,600000
,LU,250000
middle,CA,450000
senior,US,412000
middle,US,450000
senior,CA,412000
middle,PH,450000
middle,US,450000
middle,RO,450000
senior,DE,412000
middle,DE,450000
middle,RS,450000
middle,IT,450000
middle,US,450000
senior,US,412000
senior,US,412000
middle,IN,450000
middle,IN,450000
,RU,600000
middle,US,450000
senior,US,412000
senior,US,412000
middle,GB,450000
senior,US,412000
senior,GR,412000
,DE,250000
senior,US,412000
senior,US,412000
middle,US,450000
middle,IN,450000
middle,FR,450000
senior,BR,412000
middle,US,450000
middle,PT,450000
middle,PL,450000
senior,US,412000
middle,HU,450000
senior,US,412000
senior,IE,412000
middle,US,450000
middle,FR,450000
middle,ES,450000
,CA,250000
senior,GB,412000
middle,IN,450000
middle,ES,450000
middle,DE,450000
senior,US,412000
senior,US,412000
senior,US,412000
middle,PK,450000
middle,SG,450000
middle,US,450000
senior,US,412000
middle,JP,450000
,US,250000
middle,ES,450000
senior,JP,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,ES,450000
senior,US,412000
senior,DE,412000
senior,US,412000
senior,US,412000
middle,GR,450000
senior,US,412000
senior,US,412000
senior,AE,412000
senior,US,412000
senior,US,412000
,DE,250000
middle,US,450000
middle,GB,450000
senior,US,412000
senior,US,412000
,US,250000
,US,250000
middle,US,450000
middle,US,450000
middle,US,450000
middle,US,450000
,UA,250000
senior,US,412000
senior,US,412000
,RU,600000
senior,US,412000
,NL,250000
senior,US,412000
senior,GB,412000
middle,US,450000
,US,600000
middle,US,450000
,IN,250000
senior,US,412000
middle,GB,450000
middle,US,450000
senior,HR,412000
senior,GB,412000
,US,250000
senior,US,412000
senior,US,412000
senior,US,412000
,US,250000
senior,US,412000
,BR,250000
middle,US,450000
senior,DE,412000
senior,US,412000
middle,GB,450000
middle,US,450000
senior,US,412000
middle,DE,450000
senior,DE,412000
middle,US,450000
,US,250000
senior,US,412000
middle,GB,450000
senior,US,412000
middle,IN,450000
senior,IN,412000
senior,GB,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,PT,450000
,US,250000
middle,US,450000
senior,PT,412000
senior,US,412000
middle,GR,450000
senior,US,412000
middle,MD,450000
senior,US,412000
middle,US,450000
,US,250000
,US,250000
,GB,250000
senior,US,412000
senior,US,412000
middle,IN,450000
middle,AT,450000
middle,HK,450000
senior,US,412000
senior,US,412000
,DK,250000
middle,US,450000
senior,US,412000
middle,US,450000
middle,GR,450000
middle,NG,450000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,US,450000
,IQ,250000
middle,US,450000
,US,250000
middle,SG,450000
senior,US,412000
,DE,250000
senior,US,412000
middle,US,450000
senior,US,412000
senior,US,412000
senior,FR,412000
middle,IN,450000
,IN,250000
senior,US,412000
middle,US,450000
senior,US,412000
,IT,600000
senior,IN,412000
middle,US,450000
senior,US,412000
middle,VN,450000
senior,US,412000
middle,US,450000
,FR,250000
middle,GB,450000
middle,US,450000
middle,CA,450000
,US,250000
senior,US,412000
senior,US,412000
senior,MX,412000
senior,US,412000
senior,US,412000
senior,US,412000
senior,CA,412000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
,US,600000
senior,US,412000
senior,US,412000
middle,GB,450000
middle,RU,450000
middle,CA,450000
,US,250000
middle,DE,450000
,US,600000
senior,US,412000
,US,250000
,DE,600000
,DE,250000
middle,TR,450000
middle,US,450000
middle,GB,450000
middle,DE,450000
middle,GB,450000
,PK,250000
senior,US,412000
middle,ES,450000
senior,US,412000
senior,BR,412000
senior,DE,412000
senior,US,412000
senior,US,412000
senior,US,412000
,US,600000
middle,US,450000
senior,CA,412000
senior,US,412000
senior,US,412000
middle,HN,450000
middle,US,450000
,ES,250000
middle,JP,450000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,PT,450000
middle,MX,450000
senior,US,412000
middle,US,450000
senior,US,412000
senior,US,412000
middle,US,450000
,DE,250000
middle,US,450000
senior,US,412000
senior,US,412000
senior,GB,412000
senior,US,412000
senior,JP,412000
middle,JP,450000
middle,CZ,450000
middle,GR,450000
middle,US,450000
,FR,250000
middle,ES,450000
,CA,600000
,US,600000
,US,250000
middle,IR,450000
senior,US,412000
senior,US,412000
senior,US,412000
senior,AE,412000
senior,BR,412000
senior,US,412000
,IN,250000
senior,CA,412000
middle,AT,450000
senior,US,412000
middle,US,450000
middle,US,450000
senior,US,412000
,JP,250000
middle,US,450000
middle,DE,450000
senior,US,412000
senior,MY,412000
middle,FR,450000
senior,DE,412000
,US,250000
middle,US,450000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
,FR,250000
middle,US,450000
senior,GB,412000
,US,600000
senior,US,412000
senior,US,412000
senior,BG,412000
,US,250000
senior,US,412000
middle,US,450000
senior,US,412000
senior,US,412000
,US,250000
middle,US,450000
senior,US,412000
senior,RO,412000
middle,BR,450000
middle,GB,450000
,TN,250000
middle,GB,450000
senior,CA,412000
middle,US,450000
senior,US,412000
senior,US,412000
senior,CA,412000
senior,US,412000
middle,ES,450000
middle,DE,450000
senior,US,412000
middle,GR,450000
,AU,250000
senior,US,412000
senior,US,412000
senior,CA,412000
middle,GR,450000
middle,GB,450000
senior,US,412000
middle,GB,450000
middle,US,450000
middle,AE,450000
middle,US,450000
middle,US,450000
senior,US,412000
senior,IN,412000
senior,US,412000
senior,US,412000
,IT,250000
,GB,250000
senior,US,412000
,NG,250000
,DE,250000
middle,FR,450000
middle,FR,450000
senior,IN,412000
senior,US,412000
middle,US,450000
senior,US,412000
middle,GB,450000
middle,PL,450000
,VN,250000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,ES,450000
middle,GB,450000
middle,GB,450000
senior,CA,412000
,IN,600000
,IN,250000
,US,600000
senior,CA,412000
senior,CA,412000
senior,US,412000
,JP,250000
senior,AR,412000
middle,US,450000
middle,ES,450000
senior,US,412000
senior,PL,412000
,CO,250000
middle,IT,450000
senior,US,412000
,IN,600000
middle,US,450000
senior,US,412000
senior,US,412000
middle,IN,450000
middle,IN,450000
middle,FR,450000
,US,250000
senior,US,412000
senior,US,412000
middle,CH,450000
middle,GR,450000
senior,US,412000
middle,CN,450000
senior,US,412000
senior,US,412000
senior,CA,412000
middle,US,450000
senior,US,412000
senior,US,412000
middle,FR,450000
,FR,250000
senior,US,412000
senior,US,412000
middle,US,450000
,US,250000
senior,US,412000
senior,US,412000
senior,CA,412000
,PT,250000
,US,250000
middle,IN,450000
senior,US,412000
,PK,250000
,IN,250000
senior,US,412000
middle,MT,450000
,DE,250000
senior,US,412000
senior,US,412000
middle,GB,450000
middle,US,450000
middle,US,450000
middle,GR,450000
middle,CA,450000
senior,ES,412000
,US,600000
middle,US,450000
middle,DE,450000
senior,US,412000
middle,US,450000
senior,FR,412000
senior,US,412000
middle,US,450000
,US,250000
middle,BE,450000
,DK,250000
,US,250000
,IN,250000
,US,250000
senior,US,412000
senior,US,412000
,PK,250000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
,DE,250000
senior,US,412000
middle,US,450000
senior,US,412000
,IN,250000
senior,US,412000
senior,US,412000
senior,US,412000
senior,US,412000
middle,GB,450000
middle,GB,450000
,KE,250000
middle,ES,450000
senior,US,412000
senior,US,412000
,JE,250000
,PT,250000
,GB,250000
senior,BE,412000
senior,CA,412000
senior,US,412000
,AU,250000
middle,ES,450000
middle,GB,450000
senior,US,412000
,US,600000
senior,NL,412000
senior,US,412000
middle,IN,450000
middle,US,450000
middle,US,450000
senior,US,412000
middle,PL,450000
,US,600000
middle,GR,450000
middle,CA,450000
middle,CA,450000
middle,US,450000
middle,BO,450000
,GB,250000
senior,IN,412000
,DE,600000
senior,US,412000
middle,US,450000
,FR,250000
,GB,250000
middle,US,450000
senior,US,412000
senior,DE,412000
senior,US,412000
senior,US,412000
senior,AT,412000
senior,US,412000
senior,GB,412000
,DZ,250000
senior,FR,412000
senior,TR,412000
,US,250000
senior,US,412000
middle,FR,450000
middle,AU,450000
